shortcut	category	emojiCheatSheetFile	githubFile	unicodeChars	unicodeSampleFile	unicodeCldr	subcategory	aliasShortcuts	browserTypes
do_not_litter	github	do_not_litter.png	unicode/1f6af.png?v8	U+1F6AF	1f6af.png	 	custom	 	 
dodo	github	 	unicode/1f9a4.png?v8	U+1F9A4	1f9a4.png	 	custom	 	 
dog	github	dog.png	unicode/1f436.png?v8	U+1F436	1f436.png	 	custom	 	 
dog2	github	dog2.png	unicode/1f415.png?v8	U+1F415	1f415.png	 	custom	 	 
dollar	github	dollar.png	unicode/1f4b5.png?v8	U+1F4B5	1f4b5.png	 	custom	 	 
dolls	github	dolls.png	unicode/1f38e.png?v8	U+1F38E	1f38e.png	 	custom	 	 
dolphin	github	dolphin.png	unicode/1f42c.png?v8	U+1F42C	1f42c.png	 	custom	flipper	 
dominica	github	 	unicode/1f1e9-1f1f2.png?v8	U+1F1E9 U+1F1F2	1f1e9-1f1f2.png	 	custom	 	 
dominican_republic	github	 	unicode/1f1e9-1f1f4.png?v8	U+1F1E9 U+1F1F4	1f1e9-1f1f4.png	 	custom	 	 
donut	emoji-cheat-sheet	donut.png	 	 	donut.png	 	custom	 	 
door	github	door.png	unicode/1f6aa.png?v8	U+1F6AA	1f6aa.png	 	custom	 	 
doughnut	github	doughnut.png	unicode/1f369.png?v8	U+1F369	1f369.png	 	custom	 	 
dove	github	 	unicode/1f54a.png?v8	U+1F54A	1f54a.png	 	custom	 	 
dragon	github	dragon.png	unicode/1f409.png?v8	U+1F409	1f409.png	 	custom	 	 
dragon_face	github	dragon_face.png	unicode/1f432.png?v8	U+1F432	1f432.png	 	custom	 	 
dress	github	dress.png	unicode/1f457.png?v8	U+1F457	1f457.png	 	custom	 	 
dromedary_camel	github	dromedary_camel.png	unicode/1f42a.png?v8	U+1F42A	1f42a.png	 	custom	 	 
drooling_face	github	 	unicode/1f924.png?v8	U+1F924	1f924.png	 	custom	 	 
drop_of_blood	github	 	unicode/1fa78.png?v8	U+1FA78	1fa78.png	 	custom	 	 
droplet	github	droplet.png	unicode/1f4a7.png?v8	U+1F4A7	1f4a7.png	 	custom	 	 
drum	github	 	unicode/1f941.png?v8	U+1F941	1f941.png	 	custom	 	 
duck	github	 	unicode/1f986.png?v8	U+1F986	1f986.png	 	custom	 	 
dumpling	github	 	unicode/1f95f.png?v8	U+1F95F	1f95f.png	 	custom	 	 
dvd	github	dvd.png	unicode/1f4c0.png?v8	U+1F4C0	1f4c0.png	 	custom	 	 
e-mail	github	email.png	unicode/1f4e7.png?v8	U+1F4E7	1f4e7.png	 	custom	email	 
eagle	github	 	unicode/1f985.png?v8	U+1F985	1f985.png	 	custom	 	 
ear	github	ear.png	unicode/1f442.png?v8	U+1F442	1f442.png	 	custom	 	 
ear_of_rice	github	ear_of_rice.png	unicode/1f33e.png?v8	U+1F33E	1f33e.png	 	custom	 	 
ear_with_hearing_aid	github	 	unicode/1f9bb.png?v8	U+1F9BB	1f9bb.png	 	custom	 	 
earth_africa	github	earth_africa.png	unicode/1f30d.png?v8	U+1F30D	1f30d.png	 	custom	 	 
earth_americas	github	earth_americas.png	unicode/1f30e.png?v8	U+1F30E	1f30e.png	 	custom	 	 
earth_asia	github	earth_asia.png	unicode/1f30f.png?v8	U+1F30F	1f30f.png	 	custom	 	 
ecuador	github	 	unicode/1f1ea-1f1e8.png?v8	U+1F1EA U+1F1E8	1f1ea-1f1e8.png	 	custom	 	 
egg	github	egg.png	unicode/1f95a.png?v8	U+1F95A	1f95a.png	 	custom	 	 
eggplant	github	eggplant.png	unicode/1f346.png?v8	U+1F346	1f346.png	 	custom	 	 
egypt	github	 	unicode/1f1ea-1f1ec.png?v8	U+1F1EA U+1F1EC	1f1ea-1f1ec.png	 	custom	 	 
eight	github	eight.png	unicode/0038-20e3.png?v8	U+0038 U+20E3	0038-20e3.png	 	custom	 	 
eight_pointed_black_star	github	eight_pointed_black_star.png	unicode/2734.png?v8	U+2734	2734.png	 	custom	 	 
eight_spoked_asterisk	github	eight_spoked_asterisk.png	unicode/2733.png?v8	U+2733	2733.png	 	custom	 	 
eject_button	github	 	unicode/23cf.png?v8	U+23CF	23cf.png	 	custom	 	 
el_salvador	github	 	unicode/1f1f8-1f1fb.png?v8	U+1F1F8 U+1F1FB	1f1f8-1f1fb.png	 	custom	 	 
electric_plug	github	electric_plug.png	unicode/1f50c.png?v8	U+1F50C	1f50c.png	 	custom	 	 
electron	github	 	electron.png?v8	 	electron.png	 	custom	 	 
elephant	github	elephant.png	unicode/1f418.png?v8	U+1F418	1f418.png	 	custom	 	 
elevator	github	 	unicode/1f6d7.png?v8	U+1F6D7	1f6d7.png	 	custom	 	 
elf	github	 	unicode/1f9dd.png?v8	U+1F9DD	1f9dd.png	 	custom	 	 
elf_man	github	 	unicode/1f9dd-2642.png?v8	U+1F9DD U+2642	1f9dd-2642.png	 	custom	 	 
elf_woman	github	 	unicode/1f9dd-2640.png?v8	U+1F9DD U+2640	1f9dd-2640.png	 	custom	 	 
email	github	email.png	unicode/1f4e7.png?v8	U+1F4E7	1f4e7.png	 	custom	e-mail	 
end	github	end.png	unicode/1f51a.png?v8	U+1F51A	1f51a.png	 	custom	 	 
england	github	 	unicode/1f3f4-e0067-e0062-e0065-e006e-e0067-e007f.png?v8	U+1F3F4 U+E0067 U+E0062 U+E0065 U+E006E U+E0067 U+E007F	1f3f4-e0067-e0062-e0065-e006e-e0067-e007f.png	 	custom	 	 
envelope	github	envelope.png	unicode/2709.png?v8	U+2709	2709.png	 	custom	 	 
envelope_with_arrow	github	 	unicode/1f4e9.png?v8	U+1F4E9	1f4e9.png	 	custom	 	 
equatorial_guinea	github	 	unicode/1f1ec-1f1f6.png?v8	U+1F1EC U+1F1F6	1f1ec-1f1f6.png	 	custom	 	 
eritrea	github	 	unicode/1f1ea-1f1f7.png?v8	U+1F1EA U+1F1F7	1f1ea-1f1f7.png	 	custom	 	 
es	github	es.png	unicode/1f1ea-1f1f8.png?v8	U+1F1EA U+1F1F8	1f1ea-1f1f8.png	 	custom	 	 
estonia	github	 	unicode/1f1ea-1f1ea.png?v8	U+1F1EA U+1F1EA	1f1ea-1f1ea.png	 	custom	 	 
ethiopia	github	 	unicode/1f1ea-1f1f9.png?v8	U+1F1EA U+1F1F9	1f1ea-1f1f9.png	 	custom	 	 
eu	github	 	unicode/1f1ea-1f1fa.png?v8	U+1F1EA U+1F1FA	1f1ea-1f1fa.png	 	custom	european_union	 
euro	github	euro.png	unicode/1f4b6.png?v8	U+1F4B6	1f4b6.png	 	custom	 	 
european_castle	github	european_castle.png	unicode/1f3f0.png?v8	U+1F3F0	1f3f0.png	 	custom	 	 
european_post_office	github	european_post_office.png	unicode/1f3e4.png?v8	U+1F3E4	1f3e4.png	 	custom	 	 
european_union	github	 	unicode/1f1ea-1f1fa.png?v8	U+1F1EA U+1F1FA	1f1ea-1f1fa.png	 	custom	eu	 
evergreen_tree	github	evergreen_tree.png	unicode/1f332.png?v8	U+1F332	1f332.png	 	custom	 	 
exclamation	github	heavy_exclamation_mark.png	unicode/2757.png?v8	U+2757	2757.png	 	custom	heavy_exclamation_mark	 
exploding_head	github	 	unicode/1f92f.png?v8	U+1F92F	1f92f.png	 	custom	 	 
